restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
Mcdonalds,Quarter Pounder® with Cheese,530,27,13.0,1.5,100,1090,41,3.0,10,31.0
Burger King,Original Chicken Sandwich,630,39,7.0,1.0,65,1390,46,3.0,4,24.0
Subway,Footlong Turkey & Bacon Avocado,780,26,7.0,0.0,60,1720,98,16.0,14,44.0
Dairy Queen,Crispy Chicken Wrap,350,21,5.0,0.0,35,820,30,2.0,1,12.0
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,40,6.0,0.0,160,2670,94,3.0,52,58.0
Taco Bell,1/2 lb.* Combo Burrito,460,18,7.0,1.0,45,1320,53,9.0,3,21.0
Subway,Kids Mini Sub Black Forest Ham,180,3,0.5,0.0,10,450,30,3.0,5,10.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,28,10.0,1.0,55,890,40,5.0,5,20.0
Mcdonalds,20 Piece Chicken McNuggets,890,53,9.0,0.0,145,1680,53,4.0,0,49.0
Dairy Queen,Cheese Dog,390,24,11.0,1.0,50,1000,26,1.0,3,16.0
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22,4.0,0.0,45,1000,59,3.0,13,25.0
Burger King,Pretzel Chicken Fries,340,21,3.5,0.0,45,1200,21,1.0,1,16.0
Arbys,Pecan Chicken Salad Sandwich,840,44,6.0,0.5,75,1210,81,6.0,20,33.0
Subway,"Turkey, Bacon & Guacamole Wrap",810,42,13.0,0.5,75,2970,62,3.0,6,43.0
Arbys,Buttermilk Buffalo Chicken Sandwich,540,24,4.5,0.0,60,2110,53,2.0,6,29.0
Taco Bell,Cheese Quesadilla,480,27,11.0,1.0,50,1000,40,4.0,3,19.0
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32,7.0,0.0,80,1430,69,6.0,12,31.0
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33,7.0,0.0,80,1430,75,5.0,13,32.0
Subway,"6"" Tuna",470,24,4.0,0.0,30,620,44,5.0,6,20.0
Subway,Steak & Cheese Salad,210,8,4.0,0.0,50,830,14,4.0,6,20.0
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,8.0,0.0,95,1120,28,4.0,4,33.0
Chick Fil-A,Spicy Chicken Sandwich,450,19,4.0,0.0,60,1620,41,1.0,5,29.0
Subway,Footlong Big Hot Pastrami,1160,62,22.0,0.0,170,2940,94,10.0,14,58.0
Sonic,3 Piece Crispy Chicken Tender Dinner,280,14,2.5,0.0,0,800,16,0.0,0,22.0
Taco Bell,Fiesta Taco Salad-Beef,780,42,10.0,1.0,60,1340,74,11.0,7,26.0
Taco Bell,Chili Cheese Burrito,380,17,8.0,1.0,35,930,41,5.0,2,16.0
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,48,12.0,1.0,100,1750,31,4.0,8,35.0
Arbys,2 piece Prime-Cut Chicken Tenders,240,11,1.5,0.0,30,640,19,1.0,0,16.0
Subway,Footlong Subway Seafood Sensation,840,38,6.0,0.0,40,1380,102,10.0,16,26.0
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,12,5.0,0.0,30,390,15,3.0,2,9.0
Arbys,Loaded Italian Sandwich,680,40,14.0,0.5,100,2270,49,3.0,7,32.0
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,40,12.0,0.0,150,1540,18,3.0,6,42.0
Taco Bell,Express Taco Salad w/ Chips,580,29,9.0,1.0,60,1270,59,8.0,7,23.0
Taco Bell,Nacho Crunch Double Stacked Taco,380,19,6.0,0.0,35,650,39,5.0,2,13.0
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4,1.0,0.0,70,440,2,0.0,0,25.0
Sonic,Sonic Cheeseburger W/ Mustard,710,43,17.0,2.0,120,1120,43,2.0,7,35.0
Burger King,Grilled Chicken Sandwich,470,19,3.5,0.0,85,850,39,2.0,6,37.0
Mcdonalds,McRib,480,22,7.0,0.0,80,870,45,2.0,12,25.0
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,14,6.0,0.0,115,650,16,2.0,4,36.0
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,20,8.0,0.0,55,1740,66,5.0,5,24.0
Subway,Big Hot Pastrami Melt Salad,400,29,11.0,0.0,85,1250,12,4.0,4,23.0
Arbys,Arby's Melt,330,11,4.0,0.0,30,920,40,2.0,5,18.0
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,41,9.0,0.0,80,1090,54,5.0,37,28.0
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,10.0,0.5,155,1940,62,2.0,18,55.0
Burger King,Chicken Nuggets (10pc),470,29,5.0,0.0,50,890,34,5.0,0,21.0
Dairy Queen,3 chicken strips Chicken Strips,350,20,3.0,0.0,60,960,22,10.0,0,22.0
Subway,Turkey Breast Salad,110,2,1.0,0.0,20,570,11,4.0,5,12.0
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,30,11.0,1.0,70,1020,44,3.0,13,23.0
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,2.0,0.0,95,1110,44,3.0,11,37.0
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28,8.0,0.0,95,1120,28,4.0,4,33.0
Subway,Sausage Pizza,820,34,14.0,0.0,70,1420,97,4.0,8,39.0
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,19,6.0,0.0,25,960,46,4.0,3,14.0
Taco Bell,Beef Quesalupa,460,26,11.0,1.0,50,890,38,4.0,3,19.0
Subway,Footlong BBQ Rib Sandwich,860,36,12.0,0.0,100,1180,94,10.0,16,38.0
Arbys,Three Cheese Steak Sandwich,650,36,15.0,1.0,115,1760,44,2.0,9,30.0
Dairy Queen,Hot Dog,290,17,7.0,1.0,35,900,22,1.0,4,11.0
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,76,32.0,4.0,235,1690,43,2.0,7,63.0
Taco Bell,Burrito Supreme® - Steak,390,13,5.0,0.0,30,1090,52,7.0,5,17.0
Dairy Queen,Chili Dog,330,20,8.0,1.0,40,1050,24,1.0,5,13.0
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2,1.0,0.0,35,220,1,0.0,0,13.0
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,13,6.0,0.0,75,1000,48,4.0,10,34.0
Arbys,Beef 'n Cheddar Classic,450,20,6.0,1.0,50,1280,45,2.0,9,23.0
Subway,Footlong Black Forest Ham,580,10,2.0,0.0,40,1660,92,10.0,16,36.0
Burger King,Cheeseburger,300,14,6.0,0.0,45,710,28,1.0,6,16.0
Mcdonalds,Garlic White Cheddar Burger,620,34,13.0,1.5,95,790,48,3.0,11,32.0
Burger King,Rodeo Crispy Chicken Sandwich,410,17,3.0,0.0,20,870,53,2.0,14,12.0
Burger King,WHOPPER w/ Cheese,760,47,16.0,1.0,100,1410,53,3.0,11,33.0
Arbys,Ultimate BLT,980,55,14.0,0.0,85,2130,80,6.0,19,43.0
Arbys,Buffalo Chicken Slider,290,13,2.0,0.0,20,860,31,2.0,2,12.0
Chick Fil-A,Chicken Sandwich,440,19,4.0,0.0,60,1350,40,2.0,5,28.0
Taco Bell,Fresco Soft Taco,170,7,3.0,0.0,20,500,20,3.0,2,8.0
Arbys,Turkey 'n Cheese Slider,200,7,2.5,0.0,25,760,21,1.0,2,14.0
Subway,Footlong Roast Beef,640,10,4.0,0.0,80,1400,90,10.0,14,48.0
Arbys,Triple Decker Sandwich,1030,51,17.0,1.0,155,2940,83,5.0,19,62.0
Dairy Queen,DQ Ultimate® Burger,780,48,22.0,2.0,150,1390,34,1.0,7,41.0
Arbys,Greek Gyro,710,44,13.0,0.0,75,1360,55,4.0,6,23.0
Subway,Footlong Italian Hero,1100,58,20.0,0.0,150,2940,94,10.0,18,52.0
Taco Bell,Cantina Power Burrito - Steak,780,28,7.0,0.0,50,1900,98,13.0,7,33.0
Taco Bell,Bean Burrito,370,11,4.0,0.0,5,960,56,9.0,3,13.0
Mcdonalds,Signature Sriracha Burger,670,35,12.0,1.5,95,1010,56,4.0,13,32.0
Burger King,Chicken Fries,290,17,3.0,1.5,40,780,18,1.0,1,16.0
Subway,"6"" Turkey Breast & Ham",280,4,1.0,0.0,20,820,46,5.0,8,18.0
Burger King,Bacon King,1040,48,28.0,2.5,220,1900,48,1.0,10,57.0
Taco Bell,Spicy Tostada,200,10,2.5,0.0,10,440,22,4.0,1,7.0
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,35,11.0,0.0,85,1940,91,10.0,6,37.0
Dairy Queen,Chili Cheese Dog,380,24,11.0,1.0,55,900,23,1.0,3,16.0
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,141,24.0,2.0,475,6080,103,2.0,3,186.0
Taco Bell,Crunchy Taco,170,10,4.0,0.0,25,290,12,3.0,1,8.0
Subway,"6"" Veggie Patty",390,7,1.0,0.0,10,800,56,8.0,8,23.0
Taco Bell,Wild Naked Chicken Chalupa,420,28,6.0,0.0,65,1070,23,4.0,2,19.0
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,25,6.0,0.0,75,960,46,8.0,9,28.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,28,10.0,1.0,55,880,40,5.0,5,20.0
Burger King,Bacon King Jr,730,39,9.0,0.0,90,1930,63,0.0,16,32.0
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,36,9.0,0.5,95,1820,80,5.0,18,39.0
Subway,Chipotle Southwest Steak & Cheese Wrap,760,37,12.0,1.0,100,2250,65,4.0,7,43.0
Arbys,Double Roast Beef,510,24,9.0,1.5,95,1610,38,2.0,5,38.0
Taco Bell,Chicken Quesalupa,440,23,10.0,0.5,60,840,37,3.0,3,22.0
Taco Bell,Cantina Power Bowl - Steak,580,23,4.0,0.0,50,1460,66,10.0,4,27.0
Subway,Rotisserie-Style Chicken Caesar Wrap,730,34,10.0,0.5,135,1900,53,3.0,4,55.0
Burger King,Extra Long Cheeseburger,580,33,13.0,1.5,85,1030,45,2.0,9,26.0
Dairy Queen,Crispy Chicken Garden Greens Salad,280,13,2.0,0.0,40,670,24,9.0,6,17.0
Taco Bell,Black Bean Burrito,410,12,4.0,0.0,10,1100,62,8.0,3,14.0
Dairy Queen,Grilled Chicken BLT Salad,380,19,9.0,0.0,100,1540,11,3.0,6,42.0
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,87,34.0,4.0,245,1520,45,2.0,8,63.0
Burger King,WHOPPER JR. w/ Cheese,380,23,8.0,1.0,55,730,29,2.0,6,16.0
Taco Bell,Beefy Mini Quesadilla,210,12,4.0,0.0,25,560,17,3.0,1,9.0
Arbys,Pecan Chicken Salad Flatbread,710,46,7.0,0.5,65,980,53,4.0,9,22.0
Sonic,Jr. Deluxe Burger,380,23,6.0,1.0,40,470,32,1.0,4,15.0
Subway,Footlong Spicy Italian,960,48,18.0,2.0,100,3040,92,10.0,16,40.0
Chick Fil-A,4 piece Chicken Nuggets,130,6,1.5,0.0,40,490,5,1.0,0,14.0
Arbys,Roast Turkey Farmhouse Salad,230,13,7.0,0.0,55,870,8,2.0,5,22.0
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,23,5.0,0.0,60,1050,64,4.0,11,28.0
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,24,9.0,1.0,50,1480,47,5.0,8,24.0
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,12,4.5,0.0,110,1070,27,6.0,9,37.0
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,13,5.0,0.0,25,760,36,7.0,2,14.0
Taco Bell,Fiery Doritos® Double Decker® Taco,320,13,5.0,0.0,25,770,36,7.0,2,14.0
Sonic,Large Jumbo Popcorn Chicken,560,32,6.0,1.0,65,1890,41,5.0,2,27.0
Chick Fil-A,8 piece Chicken Nuggets,260,12,3.0,0.0,70,990,9,1.0,1,28.0
Subway,"6"" Subway Melt (includes cheese)",370,11,5.0,0.0,45,1210,47,5.0,8,23.0
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70,12.0,1.0,240,3230,52,1.0,4,94.0
Subway,Meatball Marinara Salad,310,17,7.0,1.0,30,720,25,6.0,10,16.0
Subway,Cold Cut Combo Salad,180,11,4.0,0.0,45,820,12,4.0,5,12.0
Burger King,Crispy Chicken Sandwich,670,41,7.0,0.5,60,1070,54,2.0,7,23.0
Subway,Spicy Italian Salad,310,23,9.0,1.0,50,1280,11,4.0,6,15.0
Subway,Kids Mini Sub Roast Beef,200,3,1.0,0.0,25,390,30,4.0,5,14.0
Taco Bell,Fresco Bean Burrito,350,9,3.0,0.0,0,950,57,9.0,3,11.0
Subway,Tuna Salad,310,24,4.0,0.0,40,370,10,4.0,4,15.0
Sonic,Deluxe Ultimate Chicken Sandwich,740,39,8.0,0.0,90,1550,63,4.0,12,33.0
Burger King,Sourdough Chicken Club,840,51,12.0,1.0,95,1760,62,3.0,7,32.0
Taco Bell,Chicken Soft Taco,170,6,3.0,0.0,30,460,18,1.0,1,12.0
Dairy Queen,Deluxe Double Hamburger,540,26,13.0,1.0,100,750,34,1.0,9,29.0
Chick Fil-A,2 Piece Chick-n-Strips,230,12,3.0,0.0,55,630,13,1.0,1,22.0
Sonic,Sonic Cheeseburger W/ Ketchup,720,43,17.0,2.0,120,1190,47,2.0,10,35.0
Burger King,DOUBLE WHOPPER w/o Cheese,900,57,19.0,2.0,140,1050,51,3.0,11,47.0
Subway,Oven Roasted Chicken Salad,140,3,0.5,0.0,50,280,10,4.0,4,19.0
Subway,Footlong Subway Melt (includes cheese),740,22,10.0,0.0,90,1420,94,10.0,16,46.0
Subway,"6"" Rotisserie Style Chicken",350,6,1.5,0.0,50,540,44,5.0,7,29.0
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,35,11.0,1.0,75,820,39,2.0,8,24.0
Sonic,4 Piece Super Crunch Chicken Strips,440,21,4.0,0.0,70,900,34,2.0,1,29.0
Arbys,Classic French Dip & Swiss/Au Jus,540,23,11.0,1.0,85,2500,50,2.0,3,35.0
Taco Bell,Original Triple Double Crunchwrap,700,30,9.0,0.5,45,1550,85,9.0,7,23.0
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,76,32.0,4.0,235,1620,47,2.0,11,63.0
Dairy Queen,Large Cheese Curds,1050,75,43.0,1.0,180,2210,52,0.0,30,43.0
Burger King,Double Bacon Cheeseburger,520,31,14.0,1.0,105,1180,33,1.0,8,31.0
Taco Bell,Burrito Supreme® – Beef,420,16,7.0,0.0,35,1090,53,8.0,5,16.0
Subway,"6"" Meatball Marinara",480,18,7.0,1.0,30,950,59,8.0,12,21.0
Subway,Veggie Delite Salad,50,1,0.0,0.0,0,65,9,4.0,4,3.0
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,28,4.5,0.0,95,1290,21,0.0,1,38.0
Mcdonalds,Filet-O-Fish®,380,18,4.0,0.0,40,640,38,2.0,5,15.0
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,9.0,0.0,85,1190,67,5.0,11,33.0
Sonic,Ultimate Chicken Club,100,64,15.0,0.5,100,2070,65,4.0,12,39.0
Dairy Queen,Side Salad,20,0,0.0,0.0,0,15,5,2.0,3,1.0
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,30,7.0,0.0,90,980,40,4.0,34,29.0
Subway,Footlong Turkey Breast,560,8,2.0,0.0,40,1620,92,10.0,14,36.0
Dairy Queen,Corn Dog,260,15,4.0,0.0,20,450,26,1.0,7,6.0
Arbys,Ham 'n Cheese Slider,210,8,3.0,0.0,25,780,21,1.0,2,13.0
Burger King,Grilled Hot Dog,310,16,6.0,1.0,30,960,32,2.0,10,11.0
Arbys,Smoke Mountain w/ Beef Short Rib,740,35,13.0,1.0,125,2050,62,4.0,17,43.0
Subway,Roast Beef Salad,140,4,1.0,0.0,40,450,10,4.0,5,18.0
Subway,Kids Mini Sub Veggie Delite,150,2,0.0,0.0,0,190,29,3.0,4,6.0
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,12,4.5,0.0,35,370,15,3.0,3,9.0
Dairy Queen,Original Double Cheeseburger,630,34,18.0,2.0,125,1240,34,1.0,9,34.0
Taco Bell,Cantina Power Bowl - Veggie,540,21,3.0,0.0,10,1310,75,14.0,4,14.0
Chick Fil-A,Chicken Salad Sandwich,490,19,3.0,0.0,80,1130,55,5.0,12,28.0
Chick Fil-A,1 Piece Chick-n-Strips,120,6,3.0,0.0,25,320,6,0.0,1,11.0
Mcdonalds,Premium Asian Salad w/o Chicken,140,7,0.5,0.0,0,20,13,5.0,7,7.0
Subway,"6"" Roast Beef",320,5,2.0,0.0,40,700,45,5.0,7,24.0
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,37,10.0,0.0,115,1640,17,3.0,5,36.0
Subway,"6"" Corned Beef Reuben",470,15,4.5,0.0,85,1770,45,7.0,12,39.0
Subway,Cheese Pizza,680,22,9.0,0.0,40,1070,96,4.0,7,32.0
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,14,5.0,0.0,60,960,29,15.0,3,37.0
Sonic,5 Piece Super Crunch Chicken Strips,550,26,5.0,0.0,90,1120,42,3.0,1,36.0
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,66,11.0,1.0,120,3500,121,12.0,4,49.0
Arbys,Grand Turkey Club,480,24,7.0,0.0,65,1610,37,2.0,9,30.0
Subway,Italian Hero Salad,230,15,5.0,0.0,45,1060,13,4.0,8,14.0
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,39,9.0,0.0,80,1120,53,4.0,7,31.0
Sonic,Hatch Green Chile Cheeseburger,710,43,17.0,2.0,120,1120,44,2.0,7,35.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,28,10.0,1.0,55,890,40,5.0,4,20.0
Arbys,Bourbon BBQ Brisket Sandwich,650,33,12.0,1.0,105,1460,51,2.0,15,38.0
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,26,10.0,0.0,50,1410,46,2.0,7,15.0
Burger King,Spicy Crispy Chicken Sandwich,700,42,7.0,0.0,65,1140,57,3.0,8,25.0
Subway,"6"" Black Forest Ham",290,5,1.0,0.0,20,830,46,5.0,8,18.0
Dairy Queen,Breaded Mushrooms,250,9,1.0,0.0,0,500,36,2.0,1,7.0
Mcdonalds,Cheeseburger,300,12,5.0,0.5,40,680,33,2.0,7,15.0
Dairy Queen,Deluxe Double Cheeseburger,640,34,18.0,2.0,125,1240,35,1.0,9,34.0
Dairy Queen,Turkey BLT Sandwich,550,26,8.0,0.0,60,1420,45,3.0,3,30.0
Mcdonalds,4 Piece Chicken McNuggets,180,11,2.0,0.0,30,340,11,1.0,0,10.0
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,100,17.0,0.0,190,2180,69,4.0,10,23.0
Subway,Sweet Onion Chicken Teriyaki Salad,200,3,1.0,0.0,50,660,24,4.0,16,20.0
Chick Fil-A,4 piece Chick-n-Strips,470,23,3.0,0.0,90,1250,29,1.0,4,37.0
Subway,"6"" Steak and Cheese",380,10,5.0,0.0,50,1060,48,5.0,8,26.0
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,5,1.0,0.0,100,670,3,0.0,1,38.0
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,61,12.0,0.5,125,4520,70,5.0,12,23.0
Taco Bell,Loaded Taco Burrito,550,29,9.0,0.5,50,1130,52,7.0,4,20.0
Chick Fil-A,Chargrilled Chicken Sandwich,310,6,2.0,0.0,55,820,36,3.0,7,29.0
Taco Bell,Burrito Supreme® - Chicken,390,12,5.0,0.0,40,1050,52,7.0,5,19.0
Dairy Queen,Pork Tenderloin Sandwich,580,34,7.0,0.0,45,910,48,2.0,6,19.0
Subway,Footlong Corned Beef Reuben,940,30,9.0,0.0,170,3540,90,14.0,24,78.0
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,37,13.0,1.0,95,1250,44,2.0,13,30.0
Taco Bell,Spicy Sweet Double Stacked Taco,340,18,7.0,0.0,35,640,32,4.0,6,12.0
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,16,6.0,0.0,35,670,40,7.0,3,14.0
Sonic,Corn Dog,210,11,4.0,0.0,20,530,23,2.0,4,6.0
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,32,5.0,0.0,95,1640,26,3.0,6,35.0
Sonic,Jr. Burger,340,17,6.0,1.0,35,640,34,1.0,6,15.0
Dairy Queen,Regular Cheese Curds,550,45,25.0,0.0,150,900,0,0.0,0,35.0
Burger King,Jalapeno Chicken Fries,300,18,3.0,0.0,40,950,19,1.0,1,15.0
Taco Bell,Chickstar,620,37,8.0,0.0,50,1290,53,4.0,4,17.0
Taco Bell,Cheesy Bean and Rice Burrito,420,17,3.5,0.0,0,930,55,6.0,4,11.0
Burger King,20 Piece Chicken Nuggets,950,55,11.0,0.0,130,1530,50,5.0,0,51.0
Taco Bell,Chipotle Crispy Chicken Griller,290,18,3.0,0.0,25,640,22,1.0,1,9.0
Sonic,"All Beef Chicago Dog – 6""",430,20,7.0,0.0,40,2310,49,1.0,17,14.0
Taco Bell,Mexican Pizza,540,31,8.0,1.0,40,860,47,7.0,2,20.0
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,74,26.0,2.0,170,1610,40,2.0,9,46.0
Arbys,Chopped Side Salad,70,5,2.5,0.0,15,100,4,1.0,2,5.0
Mcdonalds,McDouble,380,18,8.0,1.0,70,840,34,2.0,7,23.0
Taco Bell,Gordita Supreme® - Steak,270,11,4.0,0.0,30,550,29,2.0,6,14.0
Taco Bell,Loaded Potato Griller,470,22,6.0,0.0,25,1120,55,4.0,5,13.0
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,14,5.0,0.0,25,770,36,6.0,2,13.0
Arbys,Roast Beef 'n Cheese Slider,240,11,4.5,0.0,30,670,21,1.0,1,14.0
Mcdonalds,6 Piece Chicken McNuggets,270,16,2.5,0.0,45,510,16,1.0,0,15.0
Burger King,Sourdough King Double,970,61,24.0,3.0,205,1640,52,2.0,12,55.0
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,46,8.0,1.0,55,2160,109,7.0,9,30.0
Sonic,Sonic Burger W/ Ketchup,650,37,14.0,2.0,100,860,46,2.0,10,32.0
Subway,"6"" Italian B.M.T.",410,16,6.0,0.0,45,1300,46,5.0,8,20.0
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66,10.0,0.0,265,4450,156,5.0,87,97.0
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,24,9.0,0.0,55,1510,74,5.0,5,25.0
Subway,"6"" Oven Roasted Chicken",320,5,2.0,0.0,25,640,47,5.0,8,23.0
Taco Bell,Fresco Burrito Supreme® – Steak,340,9,3.0,0.0,15,1060,50,7.0,4,15.0
